idx,technical_term,layman_term
820,phase 2 drug trial,"second phase of study of a new drug intended to obtain initial
information. phase 2 trials include controlled clinical studies to
see if a new drug is effective to treat for a particular disease or
condition; therefore, the subjects who are given the drug have
the condition that the drug is supposed to treat. the side effects
are also studied, and more information is gathered about the
best dose. phase 2 studies are also conducted with a relatively
small number of patients, usually involving no more than
several hundred subjects.
if the evidence from the phase 2 studies shows that a drug is
probably effective and relatively safe, phase 3 studies are
conducted."
821,phase 3 drug trial,"large-scale trial to confirm and expand information on safety
and usefulness of a new drug. during phase 3 trials, the new
drug is given to a larger number of patients in different clinical
settings to gather as much information as possible about the
drug's safety and effectiveness, the best dosage, and to gather
labeling information.
investigators also want to make sure that the drug has more
benefits than risk. for example, a drug meant to treat a deadly
disease, like some cancers, may have very bad side effects. but,
if it can stop the cancer, the side effects may be considered
acceptable. on the other hand, even if a drug is very effective in
the treatment of a common headache, for example, but has bad side effects, that drug would be considered too toxic
(poisonous) to be used to treat that condition.
in phase 3 studies, the drug is used the way it would be
administered when marketed. when these studies are completed
and the sponsor believes that the drug is safe and effective, the
sponsor applies to the fda for approval to market the drug.
phase 3 trials usually involve several hundred to several
thousand patient-subjects."
822,phase 4 drug trial,"as a condition of approval, fda may want more studies to get
additional information about the drug's risks, benefits, and
optimal use. these studies, which are phase 4 trials, could
include, but would not be limited to, studying different doses or
schedules of administration than were used in phase 2 studies,
studying the drug in other patient populations or other stages of
the disease, or studying the drug when given over a longer
period of time than recommended on the label."
823,phlebitis,irritation of inflammation of a vein
824,phn,public health nurse
825,physical,property property of; belongs to
826,physician,doctor
827,pi,peripheral iridectomy
828,pip,proximal intraphalangeal (joint)
829,placebo,"an inactive substance which may look like an active medication, but has no medical value (such as a sugar pill)"
830,placebo effect,effect symptom or change of condition seen when a placebo is given
831,placenta,afterbirth
832,plasma,fluid found in the blood
833,platelets,small particles in the blood that help with blood clotting
834,plt,platelet count
835,pm,afternoon
836,pmi,point of maximal impulse
837,pnd,paroxysmal nocturnal dyspnea
838,pneumonia,lung infection
839,pneumothorax,collapsed lung
840,pns,peripheral nerve stimulator
841,po4,phosphate
842,podiatrist,foot doctor
843,polydipsia,too much thirst
844,polyps,abnormal lumps that can sometimes be cancerous
845,polys,polymorphonuclear leukocytes
846,post-op,postoperative
847,postpartum,after childbirth
848,potential,possible
849,potentially,endangering possibly hurting
850,potentiate,increase or multiply the effect of a drug or toxin by administration or another drug or toxin at the same time
851,potentiation,increase in drug action from using two drugs together instead of
852,ppd,purified protein derivative (tb test)
853,prbc,packed red blood cells
854,pre-op,preoperative
855,prenatal,before birth
856,prep,pattern reversal evoked potential
857,prep,prepare
858,prn,as needed
859,pro-time,prothrombin time
860,proctologist,doctor who treats disorders of the rectum and anus
861,prognosis,outlook; probable outcomes
862,prone,lying on the stomach
863,prophylaxis,a drug given to prevent disease or infection
864,prorated,(describe the payment schedule by session)
865,prospective,studies study following patients forward in time
866,prosthesis,artificial body part
867,protected,health information personal medical information that is protected by the rule
868,protocol,the plan of stud
869,provide,your treatment treat you
870,provided,consent given consent/permission
871,provider,"doctor, nurse, or other provider of health care"
872,provisions,arranging for
873,proximal,"closer to the center of the body, away from the end"
874,pruritus,itchiness
875,psbc,puget sound blood center
876,psi,pounds per square inch
877,psr,patient service representative
878,psych,psychiatry
879,psychological,test test of your behavior
880,psychosis,severe mental disorder; craziness
881,psychosomatic,having a connection between the mind and physical symptoms
882,pt,physical therapy
883,pt,patient
884,pta,prior to admission
885,pth,parathyroid hormone
886,ptt,partial thromboplastin time
887,pud,peptic ulcer disease
888,pulmonary,pertaining to the lungs
889,pulmonary neoplasm,lung tumor
890,puncture,to make a hole
891,pvc,premature ventricular contraction
892,pvd,peripheral vascular disease
893,pyelogram,a series of x-rays of the kidneys
894,qd,every day; daily
895,qid,four times a day
896,qns,quantity not sufficient
897,qs,quantity sufficient
898,qual,qualitative
899,quant,quantitative
900,r,respiration
901,r/o,rule out
902,r/t,related to
903,ra,right atrium
904,rad,onc radiation oncology
905,radiation,therapy x-ray or cobalt treatment
906,radioactive,isotope a chemical or substance that gives off radiant energy rays
907,radioactive,iodine
908,random,"by chance, like the flip of a coin"
909,rao,right anterior oblique
910,rbc,red blood cell
911,rbc,red blood cell count
912,rebuttal,response; answer; contradict
913,recombinant,formation of new combinations of genes
914,reconstitution,putting back together the original parts or elements
915,recur,happen again
916,red,return to emergency department
917,ref,reference
918,refractory,not responding to treatment
919,reg,regular
920,regeneration,regret of a structure or of lost tissue
921,regimen,pattern of administering treatment
922,regulation,rule
923,relapse,the return or reappearance of a disease
924,rem,rapid eye movement
925,remission,disappearance of evidence of cancer or other disease
926,renal,having to do with the kidney
927,replicable,capable of being duplicated
928,request,a correction/amendment ask us to change; ask us to correct
929,request,a restriction ask us not to
930,resect,remove or cut out (surgically)
931,respiratory,breathing
932,restrictions,limits
933,rh,rhesus monkey blood factor
934,rhot/lhot,right/left hypotropia
935,ria,radioimmune assay
936,rind,reversible ischemic neurologic deficit
937,risa,radioactive iodinated serum albumin
938,rlq,right lower quadrant
939,rpo,right posterior oblique
940,rpr,rapid plasma reagin test
941,rr,respiratory rate
942,rrp,radical retropubic prostatectomy
943,rrr,regular rate and rhythm
944,rt,respiratory therapy
945,rt,right
946,rtc,return to clinic
947,ruq,right upper quadrant
948,rv,right ventricle
949,rxn,reaction
950,s,subjective
951,s-,without
952,s/p,status post
953,saline,salt water solution
954,sarcoma,a type of cancer
955,sbe,subacute bacterial endocarditis
956,sbft,small bowel follow-through
957,sbo,small bowel obstruction
958,scapula,shoulder blade
959,scca,seattle cancer care alliance
960,scm,sternocleidomastoid
961,screening,"examination, test"
962,se,selenium
963,second,systolic heart sound
964,secretion,release
965,sedative,a drug to calm or make less anxious
966,seminoma,a type of testes cancer
967,sequentially,in a row
968,serum,clear liquid part of blood
969,shunt,artificial or natural channel running between two other channels
970,si,sacroiliac
971,simultaneous,at the same time
972,single-blind,"typically, a study design in which the investigator, but not the"
973,sl,slit lamp examination
974,sle,systemic lupus erythematosus
975,sleep apnea,breathing problems while sleeping
976,smx,sulfamethoxazole
977,sob,shortness of breath
978,software,computer program
979,somatic,having to do with the body
980,somnolence,sleepiness
981,spec,specimen
982,ssep,somatosensory evoked potential
983,staging,a determination of the extent of the disease
984,standard,of care the usual treatment for the disease
985,stat,immediately
986,std,sexually transmitted disease
987,stenosis,"narrowing of a duct, tube, or one of the heart valves"
988,stent,a metal (or plastic) tube placed inside a blood vessel that keeps
989,sternum,breastbone
990,stimuli,something which causes a change
991,stomatitis,mouth sores; inflammation of the mouth
992,stratify,"arrange in groups of analysis of results (e.g., stratify by age, sex, etc)"
993,strep,streptococcus
994,stupor,stunned state in which it is difficult to get a response or the
995,subclavial,under the collarbone
996,subcutaneous,(sc) under the skin
997,"subject,",knows the identity of the treatment assignment.
998,sublingual,under the tongue
999,submandibular gland ,gland responsible for secreting saliva
1000,superficial,near the surface
1001,supine,position lying on the back
1002,supplement,add
1003,surg,surgery
1004,suspected,violation possible violation
1005,suture,stitches
1006,sv,stroke volume
1007,svo2,venous oxygen saturation
1008,sx,symptoms
1009,symptom,signs of disease or illness
1010,symptomatic,having symptoms
1011,syncope,fainting or lightheadedness
1012,synd,syndrome
1013,syndrome,a condition characterized by a set of symptoms
1014,systemic,distributed throughout the body
1015,systolic,blood pressure top number in blood pressure; pertaining to contraction phase
1016,sz,seizure
1017,t,temperature
1018,t-[#],thoracic vertebra [#] (assign arabic #)
1019,t-lymphocytes,type of white blood cells involved in immune reactions
1020,"t,c,db","turn, cough, deep breath"
1021,t&a,tonsillectomy and adenoidectomy
1022,t3,triiodothyronine
1023,t3,utriiodothyroine uptake
1024,t4,thyroxine
1025,tachycardia,fast heart rate
1026,tb,tuberculosis
1027,tc,transcutaneous
1028,tcco2,transcutaneous carbon dioxide tension
1029,tcns,transcutaneous nerve stimulator
1030,tco2,transcutaneous oxygen tension
1031,tcp,thrombocytopenia purpura
1032,temp,temperature
1033,teratogenic,capable of causing malformations in unborn fetuses
1034,testes,male sex glands; male organs which produce sperm
1035,therapeutic,dose the amount of medication needed to treat the condition
1036,third,systolic heart sound
1037,thorax,the chest
1038,thrombosis,blood clotting within blood vessels
1039,tia,transient ischemic attack
1040,tibc,total iron binding capacity
1041,tid,three times a day
1042,tinnitus,ringing in the ears
1043,tko,to keep open
1044,tm,tympanum membrani (eardrum)
1045,tmj,temporomandibular joint
1046,tnm,"tumor, node, metastases (e.g., t3n1m0)"
1047,tolerance,"decrease in response to a fixed dosage of drug; over time,"
1048,topical,application applied to the surface of the skin
1049,toxicity,side effects or undesirable effects of a drug
1050,tp,total protein
1051,tpe,total pelvic exenteration
1052,tpr,"temperature, pulse, respiration"
1053,trachea,windpipe
1054,tranquilizer,drug used to control anxiety
1055,transdermal,through the skin
1056,transiently,temporarily
1057,trauma,injury; wound
1058,trd,tractional retinal detachment
1059,treadmill,walking machine often used to determine heart function
1060,treatment,choices
1061,tremor,shakiness
1062,trial,study
1063,trig,triglyceride
1064,triglyceride,fat in the blood
1065,tsh,thyroid stimulating hormone
1066,tt,thrombin time
1067,tur(p),transurethral resection (of prostate)
1068,tx,treatment
1069,u/s,ultrasound
1070,ua,urinalysis
1071,ugi,upper gastrointestinal
1072,underpayment,exists we owe you money
1073,ureter,the tube that carries urine from the kidneys to by bladder
1074,urethra,the tube that carries urine from the bladder outside the body
1075,uri,upper respiratory infection
1076,urinalysis,"urine exam, test of the urine"
1077,uro,urology
1078,urologist,doctor who treats disorders of the urinary tracts
1079,use,this term / phrase
1080,uti,urinary tract infection
1081,utilize,use
1082,v.a.,visual acuity
1083,v/q,ventilation/perfusion ratio
1084,vag,vaginal
1085,valvuloplasty,"plastic repair of a valve, especially of the heart"
1086,vasospasm,narrowing of blood vessels due to spasm of vessel walls
1087,vcug,voiding cystourethrogram
1088,vd,venereal disease
1089,vdrl,venereal disease research laboratory (syphilis serology test)
1090,vehicle,preparation lotion that contains the drug
1091,vein,blood vessel
1092,venipuncture,"entering vein with a needle, generally through the skin"
1093,verbal,speak or talk
1094,verticle,transmission spread of disease
1095,vh,vitreous hemorrhage
1096,vldl,very low density lipoprotein
1097,vod,venous occlusive disease
1098,vsd,ventricular septal defect
1099,vzv,varicella zoster virus
1100,w/o,without
1101,w/u,workup
1102,wais,wechsler adult intelligence scale
1103,waive,give up
1104,washout,period wait until a particular medication is no longer present in the
1105,wb,whole blood
1106,wbc,white blood count
1107,withdraw,leave the study
1108,wnl,within normal limits
1109,wrat,wide range achievement test
1110,ws,watt seconds
1111,wt,weight
1112,x,times
1113,x-,except
1114,xrt,xray therapy
1115,zn,zinc
1116,ecmo,machine that oxygens blood outside of the body
1117,tracheostomy,procedure that opens a hole in front of the neck into the windpipe to support breathing
1118,ventilation,aid to breathing
1119,septicemia,blood poisoning by bacteria
1120,leukemia,cancer of blood cells
1121,comorbidities,coexisting conditions
1122,non-acute,persisting/long-term
1123,disseminated,spread-widely-to-other-organs
1124,mcc,major complication and coexisting conditions
1125,cirrhosis,late state scarring of the liver
1126,peptic,digestion-related
1127,peptic ulcer,sores formed on the linings of the digestive system
1128,ulcer,sores formed on the linings of the digestive system
1129,gastritis,inflammation of the lining of the stomach
1130,craniotomy,open-brain surgery
